checkpoint path: /data_2/projects/PseNet/ckpt/wh_bs_8_ep_200_pretrain_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
None
Using pretrained model.

(2/33) Batch: 1.533s | TOTAL: 0min | ETA: 1min | Loss: 0.1723 | Acc_t:  0.9653 | IOU_t:  0.9309 | IOU_k:  0.8828
(3/33) Batch: 1.502s | TOTAL: 0min | ETA: 1min | Loss: 0.1316 | Acc_t:  0.9615 | IOU_t:  0.9257 | IOU_k:  0.8887
(4/33) Batch: 1.447s | TOTAL: 0min | ETA: 1min | Loss: 0.1387 | Acc_t:  0.9637 | IOU_t:  0.9280 | IOU_k:  0.8911
(5/33) Batch: 1.381s | TOTAL: 0min | ETA: 1min | Loss: 0.1252 | Acc_t:  0.9620 | IOU_t:  0.9239 | IOU_k:  0.8856
(6/33) Batch: 1.372s | TOTAL: 0min | ETA: 1min | Loss: 0.1130 | Acc_t:  0.9597 | IOU_t:  0.9227 | IOU_k:  0.8839
(7/33) Batch: 1.352s | TOTAL: 0min | ETA: 1min | Loss: 0.1427 | Acc_t:  0.9586 | IOU_t:  0.9183 | IOU_k:  0.8794
(8/33) Batch: 1.390s | TOTAL: 0min | ETA: 1min | Loss: 0.1355 | Acc_t:  0.9552 | IOU_t:  0.9092 | IOU_k:  0.8747
(9/33) Batch: 1.389s | TOTAL: 0min | ETA: 1min | Loss: 0.1285 | Acc_t:  0.9558 | IOU_t:  0.9097 | IOU_k:  0.8766
(10/33) Batch: 1.372s | TOTAL: 0min | ETA: 1min | Loss: 0.1228 | Acc_t:  0.9556 | IOU_t:  0.9100 | IOU_k:  0.8750
(11/33) Batch: 1.355s | TOTAL: 0min | ETA: 1min | Loss: 0.1177 | Acc_t:  0.9565 | IOU_t:  0.9104 | IOU_k:  0.8753
(12/33) Batch: 1.364s | TOTAL: 0min | ETA: 1min | Loss: 0.1147 | Acc_t:  0.9537 | IOU_t:  0.9078 | IOU_k:  0.8701
(13/33) Batch: 1.357s | TOTAL: 0min | ETA: 0min | Loss: 0.1109 | Acc_t:  0.9540 | IOU_t:  0.9079 | IOU_k:  0.8690
(14/33) Batch: 1.368s | TOTAL: 0min | ETA: 0min | Loss: 0.1089 | Acc_t:  0.9516 | IOU_t:  0.9051 | IOU_k:  0.8676
(15/33) Batch: 1.356s | TOTAL: 0min | ETA: 0min | Loss: 0.1062 | Acc_t:  0.9519 | IOU_t:  0.9050 | IOU_k:  0.8668
(16/33) Batch: 1.352s | TOTAL: 0min | ETA: 0min | Loss: 0.1029 | Acc_t:  0.9525 | IOU_t:  0.9075 | IOU_k:  0.8683
(17/33) Batch: 1.350s | TOTAL: 0min | ETA: 0min | Loss: 0.0999 | Acc_t:  0.9528 | IOU_t:  0.9085 | IOU_k:  0.8689
(18/33) Batch: 1.342s | TOTAL: 0min | ETA: 0min | Loss: 0.0977 | Acc_t:  0.9531 | IOU_t:  0.9087 | IOU_k:  0.8688
(19/33) Batch: 1.338s | TOTAL: 0min | ETA: 0min | Loss: 0.0976 | Acc_t:  0.9535 | IOU_t:  0.9092 | IOU_k:  0.8684
(20/33) Batch: 1.334s | TOTAL: 0min | ETA: 0min | Loss: 0.1077 | Acc_t:  0.9536 | IOU_t:  0.9092 | IOU_k:  0.8682
(21/33) Batch: 1.331s | TOTAL: 0min | ETA: 0min | Loss: 0.1049 | Acc_t:  0.9544 | IOU_t:  0.9105 | IOU_k:  0.8692
(22/33) Batch: 1.339s | TOTAL: 0min | ETA: 0min | Loss: 0.1151 | Acc_t:  0.9526 | IOU_t:  0.9079 | IOU_k:  0.8666
(23/33) Batch: 1.342s | TOTAL: 0min | ETA: 0min | Loss: 0.1232 | Acc_t:  0.9526 | IOU_t:  0.9081 | IOU_k:  0.8663
(24/33) Batch: 1.337s | TOTAL: 1min | ETA: 0min | Loss: 0.1209 | Acc_t:  0.9525 | IOU_t:  0.9084 | IOU_k:  0.8650
(25/33) Batch: 1.340s | TOTAL: 1min | ETA: 0min | Loss: 0.1193 | Acc_t:  0.9513 | IOU_t:  0.9073 | IOU_k:  0.8634
(26/33) Batch: 1.339s | TOTAL: 1min | ETA: 0min | Loss: 0.1183 | Acc_t:  0.9484 | IOU_t:  0.9036 | IOU_k:  0.8588
(27/33) Batch: 1.340s | TOTAL: 1min | ETA: 0min | Loss: 0.1169 | Acc_t:  0.9483 | IOU_t:  0.9040 | IOU_k:  0.8585
(28/33) Batch: 1.336s | TOTAL: 1min | ETA: 0min | Loss: 0.1146 | Acc_t:  0.9488 | IOU_t:  0.9049 | IOU_k:  0.8593
(29/33) Batch: 1.327s | TOTAL: 1min | ETA: 0min | Loss: 0.1130 | Acc_t:  0.9488 | IOU_t:  0.9049 | IOU_k:  0.8590
(30/33) Batch: 1.327s | TOTAL: 1min | ETA: 0min | Loss: 0.1114 | Acc_t:  0.9488 | IOU_t:  0.9052 | IOU_k:  0.8592
(31/33) Batch: 1.329s | TOTAL: 1min | ETA: 0min | Loss: 0.1153 | Acc_t:  0.9492 | IOU_t:  0.9061 | IOU_k:  0.8597
(32/33) Batch: 1.335s | TOTAL: 1min | ETA: 0min | Loss: 0.1137 | Acc_t:  0.9490 | IOU_t:  0.9058 | IOU_k:  0.8595
(33/33) Batch: 1.327s | TOTAL: 1min | ETA: 0min | Loss: 0.1121 | Acc_t:  0.9491 | IOU_t:  0.9062 | IOU_k:  0.8594

Epoch: [3 | 200] LR: 0.000100
(1/33) Batch: 1.493s | TOTAL: 0min | ETA: 1min | Loss: 0.2035 | Acc_t:  0.9493 | IOU_t:  0.9118 | IOU_k:  0.8399
(2/33) Batch: 1.612s | TOTAL: 0min | ETA: 1min | Loss: 0.1301 | Acc_t:  0.9494 | IOU_t:  0.9128 | IOU_k:  0.8663
(3/33) Batch: 1.659s | TOTAL: 0min | ETA: 1min | Loss: 0.1136 | Acc_t:  0.9262 | IOU_t:  0.8807 | IOU_k:  0.8490
(4/33) Batch: 1.637s | TOTAL: 0min | ETA: 1min | Loss: 0.0996 | Acc_t:  0.9303 | IOU_t:  0.8852 | IOU_k:  0.8542
(5/33) Batch: 1.579s | TOTAL: 0min | ETA: 1min | Loss: 0.0914 | Acc_t:  0.9347 | IOU_t:  0.8911 | IOU_k:  0.8568
(6/33) Batch: 1.519s | TOTAL: 0min | ETA: 1min | Loss: 0.0878 | Acc_t:  0.9372 | IOU_t:  0.8973 | IOU_k:  0.8604
(7/33) Batch: 1.476s | TOTAL: 0min | ETA: 1min | Loss: 0.0841 | Acc_t:  0.9390 | IOU_t:  0.9000 | IOU_k:  0.8601
(8/33) Batch: 1.452s | TOTAL: 0min | ETA: 1min | Loss: 0.0815 | Acc_t:  0.9407 | IOU_t:  0.9030 | IOU_k:  0.8615
(9/33) Batch: 1.416s | TOTAL: 0min | ETA: 1min | Loss: 0.0785 | Acc_t:  0.9432 | IOU_t:  0.9060 | IOU_k:  0.8619
(10/33) Batch: 1.395s | TOTAL: 0min | ETA: 1min | Loss: 0.0792 | Acc_t:  0.9417 | IOU_t:  0.9026 | IOU_k:  0.8579
(11/33) Batch: 1.426s | TOTAL: 0min | ETA: 1min | Loss: 0.0802 | Acc_t:  0.9381 | IOU_t:  0.8981 | IOU_k:  0.8505
(12/33) Batch: 1.439s | TOTAL: 0min | ETA: 1min | Loss: 0.0803 | Acc_t:  0.9364 | IOU_t:  0.8960 | IOU_k:  0.8492
(13/33) Batch: 1.449s | TOTAL: 0min | ETA: 1min | Loss: 0.0796 | Acc_t:  0.9363 | IOU_t:  0.8963 | IOU_k:  0.8474
(14/33) Batch: 1.442s | TOTAL: 0min | ETA: 0min | Loss: 0.0947 | Acc_t:  0.9371 | IOU_t:  0.8982 | IOU_k:  0.8492
(15/33) Batch: 1.439s | TOTAL: 0min | ETA: 0min | Loss: 0.1083 | Acc_t:  0.9381 | IOU_t:  0.9006 | IOU_k:  0.8509
(16/33) Batch: 1.441s | TOTAL: 0min | ETA: 0min | Loss: 0.1208 | Acc_t:  0.9392 | IOU_t:  0.9025 | IOU_k:  0.8517
(17/33) Batch: 1.437s | TOTAL: 0min | ETA: 0min | Loss: 0.1174 | Acc_t:  0.9392 | IOU_t:  0.9021 | IOU_k:  0.8513
(18/33) Batch: 1.430s | TOTAL: 0min | ETA: 0min | Loss: 0.1271 | Acc_t:  0.9398 | IOU_t:  0.9033 | IOU_k:  0.8521
(19/33) Batch: 1.430s | TOTAL: 0min | ETA: 0min | Loss: 0.1268 | Acc_t:  0.9391 | IOU_t:  0.9024 | IOU_k:  0.8505
(20/33) Batch: 1.416s | TOTAL: 0min | ETA: 0min | Loss: 0.1259 | Acc_t:  0.9394 | IOU_t:  0.9031 | IOU_k:  0.8507
(21/33) Batch: 1.434s | TOTAL: 0min | ETA: 0min | Loss: 0.1229 | Acc_t:  0.9395 | IOU_t:  0.9032 | IOU_k:  0.8526
(22/33) Batch: 1.429s | TOTAL: 1min | ETA: 0min | Loss: 0.1200 | Acc_t:  0.9402 | IOU_t:  0.9042 | IOU_k:  0.8534
(23/33) Batch: 1.422s | TOTAL: 1min | ETA: 0min | Loss: 0.1173 | Acc_t:  0.9412 | IOU_t:  0.9036 | IOU_k:  0.8545
(24/33) Batch: 1.419s | TOTAL: 1min | ETA: 0min | Loss: 0.1151 | Acc_t:  0.9418 | IOU_t:  0.9042 | IOU_k:  0.8553
(25/33) Batch: 1.422s | TOTAL: 1min | ETA: 0min | Loss: 0.1232 | Acc_t:  0.9416 | IOU_t:  0.9039 | IOU_k:  0.8547
(26/33) Batch: 1.418s | TOTAL: 1min | ETA: 0min | Loss: 0.1298 | Acc_t:  0.9421 | IOU_t:  0.9046 | IOU_k:  0.8553
(27/33) Batch: 1.410s | TOTAL: 1min | ETA: 0min | Loss: 0.1269 | Acc_t:  0.9430 | IOU_t:  0.9055 | IOU_k:  0.8564
(28/33) Batch: 1.402s | TOTAL: 1min | ETA: 0min | Loss: 0.1329 | Acc_t:  0.9433 | IOU_t:  0.9062 | IOU_k:  0.8568
(29/33) Batch: 1.397s | TOTAL: 1min | ETA: 0min | Loss: 0.1305 | Acc_t:  0.9435 | IOU_t:  0.9062 | IOU_k:  0.8570
(30/33) Batch: 1.389s | TOTAL: 1min | ETA: 0min | Loss: 0.1279 | Acc_t:  0.9440 | IOU_t:  0.9070 | IOU_k:  0.8572
(31/33) Batch: 1.397s | TOTAL: 1min | ETA: 0min | Loss: 0.1257 | Acc_t:  0.9443 | IOU_t:  0.9072 | IOU_k:  0.8579
(32/33) Batch: 1.399s | TOTAL: 1min | ETA: 0min | Loss: 0.1313 | Acc_t:  0.9447 | IOU_t:  0.9076 | IOU_k:  0.8577
(33/33) Batch: 1.397s | TOTAL: 1min | ETA: 0min | Loss: 0.1291 | Acc_t:  0.9448 | IOU_t:  0.9080 | IOU_k:  0.8577

Epoch: [4 | 200] LR: 0.000100
(1/33) Batch: 1.585s | TOTAL: 0min | ETA: 1min | Loss: 0.0713 | Acc_t:  0.9389 | IOU_t:  0.9099 | IOU_k:  0.8588
(2/33) Batch: 1.582s | TOTAL: 0min | ETA: 1min | Loss: 0.0647 | Acc_t:  0.9481 | IOU_t:  0.9028 | IOU_k:  0.8601
(3/33) Batch: 1.483s | TOTAL: 0min | ETA: 1min | Loss: 0.0600 | Acc_t:  0.9521 | IOU_t:  0.9114 | IOU_k:  0.8688
(4/33) Batch: 1.488s | TOTAL: 0min | ETA: 1min | Loss: 0.0651 | Acc_t:  0.9471 | IOU_t:  0.9063 | IOU_k:  0.8644
(5/33) Batch: 1.440s | TOTAL: 0min | ETA: 1min | Loss: 0.0650 | Acc_t:  0.9486 | IOU_t:  0.9061 | IOU_k:  0.8621
(6/33) Batch: 1.475s | TOTAL: 0min | ETA: 1min | Loss: 0.0878 | Acc_t:  0.9473 | IOU_t:  0.9034 | IOU_k:  0.8603
(7/33) Batch: 1.462s | TOTAL: 0min | ETA: 1min | Loss: 0.0849 | Acc_t:  0.9488 | IOU_t:  0.9035 | IOU_k:  0.8585
(8/33) Batch: 1.481s | TOTAL: 0min | ETA: 1min | Loss: 0.0829 | Acc_t:  0.9505 | IOU_t:  0.9032 | IOU_k:  0.8635
(9/33) Batch: 1.471s | TOTAL: 0min | ETA: 1min | Loss: 0.0813 | Acc_t:  0.9519 | IOU_t:  0.9048 | IOU_k:  0.8665
(10/33) Batch: 1.472s | TOTAL: 0min | ETA: 1min | Loss: 0.0799 | Acc_t:  0.9530 | IOU_t:  0.9052 | IOU_k:  0.8671
(11/33) Batch: 1.466s | TOTAL: 0min | ETA: 1min | Loss: 0.0777 | Acc_t:  0.9529 | IOU_t:  0.9070 | IOU_k:  0.8687
(12/33) Batch: 1.464s | TOTAL: 0min | ETA: 1min | Loss: 0.0771 | Acc_t:  0.9524 | IOU_t:  0.9056 | IOU_k:  0.8647
(13/33) Batch: 1.459s | TOTAL: 0min | ETA: 1min | Loss: 0.0762 | Acc_t:  0.9512 | IOU_t:  0.9045 | IOU_k:  0.8616
(14/33) Batch: 1.440s | TOTAL: 0min | ETA: 0min | Loss: 0.0758 | Acc_t:  0.9508 | IOU_t:  0.9042 | IOU_k:  0.8611
(15/33) Batch: 1.439s | TOTAL: 0min | ETA: 0min | Loss: 0.0769 | Acc_t:  0.9503 | IOU_t:  0.9031 | IOU_k:  0.8608
(16/33) Batch: 1.459s | TOTAL: 0min | ETA: 0min | Loss: 0.0894 | Acc_t:  0.9510 | IOU_t:  0.9047 | IOU_k:  0.8640
(17/33) Batch: 1.447s | TOTAL: 0min | ETA: 0min | Loss: 0.0875 | Acc_t:  0.9513 | IOU_t:  0.9055 | IOU_k:  0.8648
(18/33) Batch: 1.453s | TOTAL: 0min | ETA: 0min | Loss: 0.0991 | Acc_t:  0.9517 | IOU_t:  0.9054 | IOU_k:  0.8651
(19/33) Batch: 1.455s | TOTAL: 0min | ETA: 0min | Loss: 0.0978 | Acc_t:  0.9514 | IOU_t:  0.9047 | IOU_k:  0.8635
(20/33) Batch: 1.463s | TOTAL: 0min | ETA: 0min | Loss: 0.0974 | Acc_t:  0.9507 | IOU_t:  0.9030 | IOU_k:  0.8614
(21/33) Batch: 1.458s | TOTAL: 0min | ETA: 0min | Loss: 0.0953 | Acc_t:  0.9508 | IOU_t:  0.9039 | IOU_k:  0.8612
(22/33) Batch: 1.458s | TOTAL: 1min | ETA: 0min | Loss: 0.0948 | Acc_t:  0.9485 | IOU_t:  0.9012 | IOU_k:  0.8580
