checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_right/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/119) Batch: 1.797s | TOTAL: 0min | ETA: 4min | Loss: 0.0805 | Acc_t:  0.9622 | IOU_t:  0.9424 | IOU_k:  0.8895
(2/119) Batch: 1.800s | TOTAL: 0min | ETA: 4min | Loss: 0.0705 | Acc_t:  0.9490 | IOU_t:  0.9136 | IOU_k:  0.8831
(3/119) Batch: 1.768s | TOTAL: 0min | ETA: 3min | Loss: 0.0643 | Acc_t:  0.9545 | IOU_t:  0.9187 | IOU_k:  0.8919
(4/119) Batch: 1.775s | TOTAL: 0min | ETA: 3min | Loss: 0.0599 | Acc_t:  0.9561 | IOU_t:  0.9234 | IOU_k:  0.8903
(5/119) Batch: 1.775s | TOTAL: 0min | ETA: 3min | Loss: 0.0606 | Acc_t:  0.9520 | IOU_t:  0.9188 | IOU_k:  0.8843
(6/119) Batch: 1.755s | TOTAL: 0min | ETA: 3min | Loss: 0.0596 | Acc_t:  0.9528 | IOU_t:  0.9210 | IOU_k:  0.8795
(7/119) Batch: 1.756s | TOTAL: 0min | ETA: 3min | Loss: 0.0567 | Acc_t:  0.9570 | IOU_t:  0.9256 | IOU_k:  0.8841
(8/119) Batch: 1.731s | TOTAL: 0min | ETA: 3min | Loss: 0.0710 | Acc_t:  0.9563 | IOU_t:  0.9259 | IOU_k:  0.8823
(9/119) Batch: 1.744s | TOTAL: 0min | ETA: 3min | Loss: 0.0941 | Acc_t:  0.9574 | IOU_t:  0.9269 | IOU_k:  0.8842
(10/119) Batch: 1.743s | TOTAL: 0min | ETA: 3min | Loss: 0.0901 | Acc_t:  0.9584 | IOU_t:  0.9273 | IOU_k:  0.8840
(11/119) Batch: 1.777s | TOTAL: 0min | ETA: 3min | Loss: 0.0856 | Acc_t:  0.9595 | IOU_t:  0.9295 | IOU_k:  0.8851
(12/119) Batch: 1.759s | TOTAL: 0min | ETA: 3min | Loss: 0.0826 | Acc_t:  0.9608 | IOU_t:  0.9299 | IOU_k:  0.8850
(13/119) Batch: 1.736s | TOTAL: 0min | ETA: 3min | Loss: 0.0793 | Acc_t:  0.9623 | IOU_t:  0.9321 | IOU_k:  0.8855
(14/119) Batch: 1.721s | TOTAL: 0min | ETA: 3min | Loss: 0.0942 | Acc_t:  0.9628 | IOU_t:  0.9328 | IOU_k:  0.8851
(15/119) Batch: 1.715s | TOTAL: 0min | ETA: 3min | Loss: 0.1067 | Acc_t:  0.9636 | IOU_t:  0.9338 | IOU_k:  0.8857
(16/119) Batch: 1.733s | TOTAL: 0min | ETA: 3min | Loss: 0.1026 | Acc_t:  0.9638 | IOU_t:  0.9342 | IOU_k:  0.8872
(17/119) Batch: 1.737s | TOTAL: 0min | ETA: 3min | Loss: 0.1402 | Acc_t:  0.9640 | IOU_t:  0.9340 | IOU_k:  0.8872
(18/119) Batch: 1.753s | TOTAL: 0min | ETA: 3min | Loss: 0.1380 | Acc_t:  0.9617 | IOU_t:  0.9320 | IOU_k:  0.8844
(19/119) Batch: 1.747s | TOTAL: 1min | ETA: 3min | Loss: 0.1456 | Acc_t:  0.9626 | IOU_t:  0.9330 | IOU_k:  0.8847
(20/119) Batch: 1.738s | TOTAL: 1min | ETA: 3min | Loss: 0.1410 | Acc_t:  0.9631 | IOU_t:  0.9327 | IOU_k:  0.8849
(21/119) Batch: 1.739s | TOTAL: 1min | ETA: 3min | Loss: 0.1479 | Acc_t:  0.9636 | IOU_t:  0.9330 | IOU_k:  0.8858
(22/119) Batch: 1.736s | TOTAL: 1min | ETA: 3min | Loss: 0.1432 | Acc_t:  0.9638 | IOU_t:  0.9332 | IOU_k:  0.8859
(23/119) Batch: 1.720s | TOTAL: 1min | ETA: 3min | Loss: 0.1394 | Acc_t:  0.9640 | IOU_t:  0.9334 | IOU_k:  0.8853
(24/119) Batch: 1.732s | TOTAL: 1min | ETA: 3min | Loss: 0.1398 | Acc_t:  0.9641 | IOU_t:  0.9331 | IOU_k:  0.8852
(25/119) Batch: 1.726s | TOTAL: 1min | ETA: 3min | Loss: 0.1369 | Acc_t:  0.9640 | IOU_t:  0.9323 | IOU_k:  0.8852
(26/119) Batch: 1.725s | TOTAL: 1min | ETA: 3min | Loss: 0.1336 | Acc_t:  0.9643 | IOU_t:  0.9330 | IOU_k:  0.8860
(27/119) Batch: 1.717s | TOTAL: 1min | ETA: 3min | Loss: 0.1310 | Acc_t:  0.9641 | IOU_t:  0.9323 | IOU_k:  0.8853
(28/119) Batch: 1.718s | TOTAL: 1min | ETA: 3min | Loss: 0.1281 | Acc_t:  0.9641 | IOU_t:  0.9319 | IOU_k:  0.8849
(29/119) Batch: 1.720s | TOTAL: 1min | ETA: 3min | Loss: 0.1336 | Acc_t:  0.9641 | IOU_t:  0.9318 | IOU_k:  0.8851
(30/119) Batch: 1.724s | TOTAL: 1min | ETA: 3min | Loss: 0.1304 | Acc_t:  0.9644 | IOU_t:  0.9324 | IOU_k:  0.8860
(31/119) Batch: 1.742s | TOTAL: 1min | ETA: 3min | Loss: 0.1275 | Acc_t:  0.9648 | IOU_t:  0.9330 | IOU_k:  0.8873
(32/119) Batch: 1.738s | TOTAL: 1min | ETA: 3min | Loss: 0.1249 | Acc_t:  0.9652 | IOU_t:  0.9333 | IOU_k:  0.8871
(33/119) Batch: 1.734s | TOTAL: 1min | ETA: 3min | Loss: 0.1227 | Acc_t:  0.9646 | IOU_t:  0.9320 | IOU_k:  0.8866
(34/119) Batch: 1.726s | TOTAL: 1min | ETA: 2min | Loss: 0.1204 | Acc_t:  0.9647 | IOU_t:  0.9324 | IOU_k:  0.8865
(35/119) Batch: 1.721s | TOTAL: 1min | ETA: 2min | Loss: 0.1185 | Acc_t:  0.9644 | IOU_t:  0.9321 | IOU_k:  0.8859
(36/119) Batch: 1.714s | TOTAL: 1min | ETA: 2min | Loss: 0.1165 | Acc_t:  0.9648 | IOU_t:  0.9328 | IOU_k:  0.8863
(37/119) Batch: 1.709s | TOTAL: 1min | ETA: 2min | Loss: 0.1147 | Acc_t:  0.9647 | IOU_t:  0.9329 | IOU_k:  0.8870
(38/119) Batch: 1.708s | TOTAL: 1min | ETA: 2min | Loss: 0.1190 | Acc_t:  0.9651 | IOU_t:  0.9335 | IOU_k:  0.8875
(39/119) Batch: 1.710s | TOTAL: 1min | ETA: 2min | Loss: 0.1170 | Acc_t:  0.9651 | IOU_t:  0.9337 | IOU_k:  0.8879
(40/119) Batch: 1.719s | TOTAL: 1min | ETA: 2min | Loss: 0.1165 | Acc_t:  0.9626 | IOU_t:  0.9302 | IOU_k:  0.8833
(41/119) Batch: 1.721s | TOTAL: 1min | ETA: 2min | Loss: 0.1154 | Acc_t:  0.9625 | IOU_t:  0.9302 | IOU_k:  0.8829
(42/119) Batch: 1.718s | TOTAL: 1min | ETA: 2min | Loss: 0.1138 | Acc_t:  0.9628 | IOU_t:  0.9302 | IOU_k:  0.8835
(43/119) Batch: 1.717s | TOTAL: 1min | ETA: 2min | Loss: 0.1123 | Acc_t:  0.9626 | IOU_t:  0.9303 | IOU_k:  0.8839
(44/119) Batch: 1.720s | TOTAL: 1min | ETA: 2min | Loss: 0.1138 | Acc_t:  0.9628 | IOU_t:  0.9306 | IOU_k:  0.8843
(45/119) Batch: 1.735s | TOTAL: 1min | ETA: 2min | Loss: 0.1127 | Acc_t:  0.9626 | IOU_t:  0.9303 | IOU_k:  0.8842
(46/119) Batch: 1.736s | TOTAL: 1min | ETA: 2min | Loss: 0.1112 | Acc_t:  0.9627 | IOU_t:  0.9306 | IOU_k:  0.8844
(47/119) Batch: 1.731s | TOTAL: 1min | ETA: 2min | Loss: 0.1101 | Acc_t:  0.9628 | IOU_t:  0.9301 | IOU_k:  0.8840
(48/119) Batch: 1.730s | TOTAL: 1min | ETA: 2min | Loss: 0.1088 | Acc_t:  0.9625 | IOU_t:  0.9299 | IOU_k:  0.8835
(49/119) Batch: 1.730s | TOTAL: 1min | ETA: 2min | Loss: 0.1076 | Acc_t:  0.9623 | IOU_t:  0.9300 | IOU_k:  0.8829
(50/119) Batch: 1.735s | TOTAL: 1min | ETA: 2min | Loss: 0.1078 | Acc_t:  0.9622 | IOU_t:  0.9296 | IOU_k:  0.8826
(51/119) Batch: 1.730s | TOTAL: 1min | ETA: 2min | Loss: 0.1066 | Acc_t:  0.9623 | IOU_t:  0.9299 | IOU_k:  0.8827
(52/119) Batch: 1.729s | TOTAL: 1min | ETA: 2min | Loss: 0.1054 | Acc_t:  0.9624 | IOU_t:  0.9301 | IOU_k:  0.8831
(53/119) Batch: 1.722s | TOTAL: 1min | ETA: 2min | Loss: 0.1049 | Acc_t:  0.9619 | IOU_t:  0.9293 | IOU_k:  0.8815
(54/119) Batch: 1.723s | TOTAL: 2min | ETA: 2min | Loss: 0.1038 | Acc_t:  0.9621 | IOU_t:  0.9294 | IOU_k:  0.8814
(55/119) Batch: 1.718s | TOTAL: 2min | ETA: 2min | Loss: 0.1027 | Acc_t:  0.9623 | IOU_t:  0.9296 | IOU_k:  0.8814
(56/119) Batch: 1.724s | TOTAL: 2min | ETA: 2min | Loss: 0.1092 | Acc_t:  0.9623 | IOU_t:  0.9295 | IOU_k:  0.8812
(57/119) Batch: 1.724s | TOTAL: 2min | ETA: 2min | Loss: 0.1084 | Acc_t:  0.9622 | IOU_t:  0.9294 | IOU_k:  0.8816
(58/119) Batch: 1.721s | TOTAL: 2min | ETA: 2min | Loss: 0.1073 | Acc_t:  0.9626 | IOU_t:  0.9299 | IOU_k:  0.8823
(59/119) Batch: 1.721s | TOTAL: 2min | ETA: 2min | Loss: 0.1067 | Acc_t:  0.9622 | IOU_t:  0.9298 | IOU_k:  0.8823
(60/119) Batch: 1.716s | TOTAL: 2min | ETA: 2min | Loss: 0.1056 | Acc_t:  0.9625 | IOU_t:  0.9300 | IOU_k:  0.8824
(61/119) Batch: 1.720s | TOTAL: 2min | ETA: 2min | Loss: 0.1049 | Acc_t:  0.9624 | IOU_t:  0.9298 | IOU_k:  0.8831
(62/119) Batch: 1.718s | TOTAL: 2min | ETA: 2min | Loss: 0.1038 | Acc_t:  0.9626 | IOU_t:  0.9302 | IOU_k:  0.8833
(63/119) Batch: 1.717s | TOTAL: 2min | ETA: 2min | Loss: 0.1067 | Acc_t:  0.9626 | IOU_t:  0.9303 | IOU_k:  0.8835
(64/119) Batch: 1.717s | TOTAL: 2min | ETA: 2min | Loss: 0.1061 | Acc_t:  0.9627 | IOU_t:  0.9306 | IOU_k:  0.8836
(65/119) Batch: 1.716s | TOTAL: 2min | ETA: 2min | Loss: 0.1050 | Acc_t:  0.9630 | IOU_t:  0.9311 | IOU_k:  0.8838
(66/119) Batch: 1.717s | TOTAL: 2min | ETA: 2min | Loss: 0.1039 | Acc_t:  0.9633 | IOU_t:  0.9317 | IOU_k:  0.8845
(67/119) Batch: 1.717s | TOTAL: 2min | ETA: 2min | Loss: 0.1031 | Acc_t:  0.9634 | IOU_t:  0.9316 | IOU_k:  0.8848
(68/119) Batch: 1.712s | TOTAL: 2min | ETA: 1min | Loss: 0.1023 | Acc_t:  0.9635 | IOU_t:  0.9316 | IOU_k:  0.8849
(69/119) Batch: 1.706s | TOTAL: 2min | ETA: 1min | Loss: 0.1016 | Acc_t:  0.9636 | IOU_t:  0.9315 | IOU_k:  0.8847
(70/119) Batch: 1.703s | TOTAL: 2min | ETA: 1min | Loss: 0.1007 | Acc_t:  0.9637 | IOU_t:  0.9318 | IOU_k:  0.8853
(71/119) Batch: 1.702s | TOTAL: 2min | ETA: 1min | Loss: 0.1000 | Acc_t:  0.9636 | IOU_t:  0.9319 | IOU_k:  0.8849
(72/119) Batch: 1.700s | TOTAL: 2min | ETA: 1min | Loss: 0.0995 | Acc_t:  0.9635 | IOU_t:  0.9316 | IOU_k:  0.8845
(73/119) Batch: 1.702s | TOTAL: 2min | ETA: 1min | Loss: 0.0986 | Acc_t:  0.9636 | IOU_t:  0.9318 | IOU_k:  0.8849
