checkpoint path: /data_2/projects/PseNet/ckpt/wh0603--0609-0702_pretrain_ic17
init lr: 0.00010000
('schedule: ', [30, 60])
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2457: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/data_1/software/anaconda/envs/PSENet/lib/python2.7/site-packages/torch/nn/functional.py:2539: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_right/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210603/data4train/human_check/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210702/data4train/pse_wh_200_error_labeled/train/img ==========
========== Deal with the data dir: /data_2/3rd/goertek/data/warehouse/20210609/data4train/pse_wh_200_error_labeled/train/img ==========
None
Using pretrained model.

Epoch: [1 | 200] LR: 0.000100
(1/101) Batch: 3.316s | TOTAL: 0min | ETA: 6min | Loss: 0.2865 | Acc_t:  0.9632 | IOU_t:  0.9442 | IOU_k:  0.9213
(2/101) Batch: 2.568s | TOTAL: 0min | ETA: 4min | Loss: 0.1642 | Acc_t:  0.9692 | IOU_t:  0.9470 | IOU_k:  0.9159
(3/101) Batch: 2.290s | TOTAL: 0min | ETA: 4min | Loss: 0.1322 | Acc_t:  0.9630 | IOU_t:  0.9298 | IOU_k:  0.9032
(4/101) Batch: 2.243s | TOTAL: 0min | ETA: 4min | Loss: 0.1082 | Acc_t:  0.9661 | IOU_t:  0.9359 | IOU_k:  0.9073
(5/101) Batch: 2.264s | TOTAL: 0min | ETA: 4min | Loss: 0.1637 | Acc_t:  0.9665 | IOU_t:  0.9369 | IOU_k:  0.9066
(6/101) Batch: 2.238s | TOTAL: 0min | ETA: 4min | Loss: 0.1447 | Acc_t:  0.9645 | IOU_t:  0.9349 | IOU_k:  0.8951
(7/101) Batch: 2.154s | TOTAL: 0min | ETA: 3min | Loss: 0.1343 | Acc_t:  0.9602 | IOU_t:  0.9259 | IOU_k:  0.8870
(8/101) Batch: 2.082s | TOTAL: 0min | ETA: 3min | Loss: 0.1225 | Acc_t:  0.9616 | IOU_t:  0.9281 | IOU_k:  0.8895
(9/101) Batch: 2.054s | TOTAL: 0min | ETA: 3min | Loss: 0.1140 | Acc_t:  0.9629 | IOU_t:  0.9298 | IOU_k:  0.8895
(10/101) Batch: 2.004s | TOTAL: 0min | ETA: 3min | Loss: 0.1081 | Acc_t:  0.9631 | IOU_t:  0.9293 | IOU_k:  0.8893
(11/101) Batch: 2.089s | TOTAL: 0min | ETA: 3min | Loss: 0.1030 | Acc_t:  0.9634 | IOU_t:  0.9306 | IOU_k:  0.8904
(12/101) Batch: 2.046s | TOTAL: 0min | ETA: 3min | Loss: 0.0981 | Acc_t:  0.9639 | IOU_t:  0.9314 | IOU_k:  0.8915
(13/101) Batch: 2.033s | TOTAL: 0min | ETA: 3min | Loss: 0.0935 | Acc_t:  0.9647 | IOU_t:  0.9331 | IOU_k:  0.8936
(14/101) Batch: 2.032s | TOTAL: 0min | ETA: 3min | Loss: 0.0930 | Acc_t:  0.9583 | IOU_t:  0.9254 | IOU_k:  0.8834
(15/101) Batch: 2.017s | TOTAL: 0min | ETA: 3min | Loss: 0.0902 | Acc_t:  0.9588 | IOU_t:  0.9256 | IOU_k:  0.8840
(16/101) Batch: 2.013s | TOTAL: 1min | ETA: 3min | Loss: 0.0873 | Acc_t:  0.9594 | IOU_t:  0.9267 | IOU_k:  0.8849
(17/101) Batch: 2.008s | TOTAL: 1min | ETA: 3min | Loss: 0.0998 | Acc_t:  0.9597 | IOU_t:  0.9265 | IOU_k:  0.8850
(18/101) Batch: 2.008s | TOTAL: 1min | ETA: 3min | Loss: 0.1055 | Acc_t:  0.9545 | IOU_t:  0.9191 | IOU_k:  0.8762
(19/101) Batch: 2.003s | TOTAL: 1min | ETA: 3min | Loss: 0.1043 | Acc_t:  0.9521 | IOU_t:  0.9161 | IOU_k:  0.8688
(20/101) Batch: 1.982s | TOTAL: 1min | ETA: 3min | Loss: 0.1015 | Acc_t:  0.9531 | IOU_t:  0.9168 | IOU_k:  0.8693
(21/101) Batch: 1.969s | TOTAL: 1min | ETA: 3min | Loss: 0.0991 | Acc_t:  0.9528 | IOU_t:  0.9166 | IOU_k:  0.8690
(22/101) Batch: 1.948s | TOTAL: 1min | ETA: 3min | Loss: 0.0966 | Acc_t:  0.9533 | IOU_t:  0.9175 | IOU_k:  0.8702
